a-uw-a, auwi-a	awfa
ar+e+šše-a=l, ar-i-ež-a=l	areššal
ar+i+re	arire
ar-am-d-ō-m	aramdōm
ar-i, ar-i, ar-i, ari, āri	ari
ar-i, ari, āri	āri
ar-i-a-mma	ariamma
ar-i-an	arian
ar-i-l-eva-ž	ārrivaž
ar-o	aru
ar-o-re	aruri
ar-ol-i-b	arulib
ar-ol-i-le, ar-ull-i, aruli-ne, aruli-ne-e	arulli
ar-ol-i=m	arulim
ar-ol-o-šše-na	aruluššina
ar-ol-āw-ž	arulāuž
ar-ož-ill-i-āi=m	aružellāim
ar-ōl-aw-ž	arōlauž
ar-ōl-aw=nna	arōlawunna
ar-ōl-u-d-a, ar-ōl-ud-a	arōluda
ar-ōl-ull-o-m	arōlullub
ar-ōl-āw-ž	arōlāuž
ar-ōž-o	arūžu
ar-ōž-o-šše	arūžušši
ar-ūl-āw-ž	arūlāuž
aranziġō-va	aranziġōba
arb+ar+i-ra	arbarra
ard+o+ġe-ne-ž	arduġiniž
ard-ūr-i, ardūri	ardūri
arde	arde, ardē
arde, arde-i	ārdi
arde-a	arda
arde-i-ve-ne-š=nna	ārdibinešša
arde-iffo-š=nna	ārdivošša
arde-n, arde=n	ardēn
arde-ne, arde-ne-e	ardeni, ārdēni
arde-ne-e=n, arde-ne-n, arde-ne=n	ardinin
arde-ne-ve-na	ārdenibina
arde-ve-āi	ardebāi
arde-ī-dan	ārdīdan
arde-ī-dan〈〈i〉〉	ārdīdani
arde-ī=ma	ārdīma
arde=ma	ārdima
ari-ī-ve=n, arīvi-n, āri-ī-ve=n	arīvin
arib.ebla-ž	aribiblaž
arili-f-fa, arili-iffe-a	ariliffa
arm+i+mmi	armimmi
arm-o-ež, armi-ož	armuž
arni	arni, ārni
arni-a	arna
arni-āi	arnāi
aruwallāe-na	aruwallāena
aruwallāe-na=ma	aruwallāenama
arāgi	arāgi
assusḫi	assusḫi
assusḫi-a	assusḫa
assīri	azīri, āssīri
assīri, aziri	aziri
att+o+bade-ne-ž	attubadenež
att-an-ō-eva	attanōva
atta+i	attāi
atta+i, atta+i-i	attai
atta+i-da	attaida
atta+i-i-ve, atta+i-ve	attaivi
atta+i-i-ve-ne-e, atta+i-ve-ne-e	attaebini
atta+i-i-ve-ne-š=nna, atta+i-ve-ne-š=nna	attaibinešša
atta+i-p-pe-na-āž-a	attaippināža
atta+ni	attāne
atta+ni=ma	attānima, āttanima
atta-ž	ādaž
atḫalve	atḫalve
audalumma=n	awtaluman, awtalumman
audūi	awtuwi
av+al+i-ne-ve-ne-a	avallivena
av+al+ġe	avālġi
av+al+ġe-a	avalġa
av-a, avi-a, avi-a	ava
av-ašt-i-ež	avaštiž
av-āšt-o-m	avāštum
avari-na-aš-ta	avarrašta
avari-ne, avari-ne-e	avarri
avari-ne-ve	avarribi
avari-ne-ve-na	avarribina
avari-ne-ē, avari-nē	avarrie
ave-až-a	aveaža, aveiaža
ave-až-a, avi-i-až-a	abiaža
ave-da	aveda
ave-na	avena
ave-š=d	abēd
ave-š=nna=m, aēšši-a=m	aēššam
ave-š=nnā	abiššā
ave-š=tilla	abēdilla
ave=ma	abima
avi	appi
avi+n	avīn
avi+n, avi-i-n, avi-n, avi=n	abin
avi+n, avi-n	avin
avi+n=am	abinam
avi, avi	abi, avi
avi, avi, avi	āvi
avi, avi, avi, āb-i, ābi	ābi
avi-i-da	avida, ābida
avi-i-va	*abiva
az+al+di-a, az-al-d-a	azalda
az-al-d-i-le	azaldili
az-al-d-ēd-a	azaldēda
az-al-i-le=n, azali-ne-e=n, azali-ne-n, azali-ne=n, azalli=n	azallin
az-am-ar-o-l-ēž	azamaruliēž
az-āšt-o-m	azāštum
azallae-ne-n	azallaenen
azusḫi	azusḫi
azusḫi-a	azusḫa
aġarri, aġri-ne	aġarri
aġr+i+nni-ne-ve-ne-da	aġrinninibinida
aġr+o+šḫe-ne	aġrušḫini
aġri	āġri
aġri-a	āġra
aġri-b	āġrib
aġri-da=l, aġri-i-da=l	āġridal
aġri-ne-ve	aġarribi
aġri-ne-ve-na-āž-a	aġarribināža
aġri-ne-ve-āe	aġarribāe
aġri-ne-ž	aġarrež
aġri-nē-va	aġarrēba
aġri-nē-ve-ož	aġarrēbuž
aġri-nē-ž=l	aġarrēl
aġri-ve-ož	āġribuž
aġri-āi	āġrāi
aġri-āi=d, aġrā-i=d	aġrāid
aġrā-i-lē	āġrāilī
aġui-na	aġuina
aō	au, āu
aō=l	aōl
ašk-i-le	aškili, āškili
ašk-ō-l-āe	aškōlāe
ašt+o+ḫḫe	āštuḫḫi
ašt+o+ḫḫe-na	aštuḫḫina, āštuḫḫēna
ašt+o+ḫḫe-na-až-e-āi	aštuḫḫinažāi
ašt+o+ḫḫe-na-až-ož	aštuḫḫinažuž
ašt+o+ḫḫe-na-āž-a	aštuḫḫināža
ašt+o+ḫḫe-na-āž-ož	aštuḫḫināžuž
ašt+o+ḫḫe-āe	aštuḫḫāe
aštaga-da=m	āštagādab
aštaga-ve	aštāgabi
ašḫ+ašt+a+ḫḫe, ašḫ+ašt+aʾe	ašḫaštaġe
ašḫo	ašḫu, āšḫu, āšḫō
ašḫo, āšḫ-ō	ašḫō
ašḫo-da=an, ašḫo-da=n, ašḫo-dan	ašḫudan
ašḫo-i-dan	ašḫuidan
ašḫo-n, ašḫo=n, ašḫo=n	āšḫun
ašḫo-n=an, ašḫo=n=an	ašḫōnan
ašḫo-ne-e=lla, ašḫo-ne=lla	ašḫunilla
až+arb+a+šše-na	ažarbaššina
až+i+ġe	ažiġi
až+oġi-ne-e	ažōġini, ažūġeni
až+oġi-ne-ve-a	ažuġiniva
až+oġi-ne-ž=l	ažōġinel
až+oġi-nē-ž=l	ažōġinēl
až+ož-ill-and-i-n, až+ož-ill-and-i=n	ažužellandin, ažōžellandin, ažōžillandin
až+ō+re	ažuri, ažōri, ažūri, āžōri
až+ō+re-i-ž, až+ō+re-ž	ažurež
až-amm-o, až-amm-u	ažammu
až-an-o-m	ažanub
až-ašt-ed-ōw	ažaštedō
až-ašt-i-b	ažaštib
až-ašt-i-le=m, až-ašt-il-i-b	ažaštilib
až-i-a	ažia
až-o-l-ai-n, až-o-l-ai=n	ažulain
až-ān-ēd-āw	ažānēdāw
až-ōl-a	ažōla
až-ōġ-i-ež, ažōġi-i-ž, ažōġi-ž	ažōġiž
ažamri	ažamri
aži-o-l-ai, ažiuli-ai	ažiwlai
aži-ā=l	ažāl
ažmo.nigalō=n	ažmunigalōn
ažugali-nē-ne, ažugallē-ne, ažugallē-ne-e	ažugallēni
aʾ-ašt-ed-aw	aġaštedab
aʾ-ašt-et-t-a, aʾ-ašt-i=tta	āġaštetta
aʾ-āšt-ed-aw	aġāštedab
aʾ-āšt-ed-o	aġāštedu
ebi-āe	ebāe
ebāni	ebāni
ed-a, edi-a, ide-a	eda
ed-o, ed-u	ēdu
ed-o-kko	edukku
eg+o+nni, eg+o+nni-ne, eg+o+nni-ne-e	egunni
eg+o+nni-a, eg+o+nni-na	egunna
eg+o+nni-ne-n	egunninin
eg+o+nni-ž	egunniž
eg+o+šš-i, eg+o+šše	egušši
eg+o+šš-ill-and-i-n, eg+o+šš-ill-and-i=n	eguššellandin
eg+o+šš-o-ež	eguššuž
eg+o+šš-o-l-āe-ž	eguššulāež
eg+o+šš-o-l-āi, eg+o+šš-ol-i-āi	eguššulāi
eg+o+šš-o-l-ēž	eguššulēž
eg+o+šš-ož-ill-and-i-n, eg+o+šš-ož-ill-and-i=n	eguššužilandin
eg+o+šš-u+m+ae=lla	eguššumaella
eg+o+šš-umme	eguššummi
eg+o+šš-ōl-a	egōššōla
eg+o+šše-na	eguššina
eg+o+šše-na-až-a	eguššinaža
eg+o+šše-na-až-ož, eg+o+šše-na-āž-ož	eguššinažuž
eg+o+šše-na-āž-ož	eguššināžuž
eg+o+šše-āe	eguššāe
eg+o+šše-āi	eguššāi
eg+ud+ut+ki	egudutki, igudutki
eg+ō+ni-a, eg-ōn-a	egōna
eg-i, eg-i, egi, egi, egi	egi
ege+nni-n, egi-ne-e=n, egi-ne-n	egennin
ege+nni-ne-ž	eginniniž
egi, egi, egi, ig-i, igi	igi
egi-ai	egai
egi-da, egi-i-da	igida
egi-i-až-a=ma	igiažama
egi-i-až-ā=ma	igiažāma
egi-na, egi-na	egina
egi-na-āž-ož, egi-na-āž-ož	egināžuž
egi-na-āž-ož, igi-na-āž-ož	igināžuž
egi-ne, egi-ne, egi-ne-e, egi-ne-e	egini
egi-ne-e	egēni, igēni
egi-ne-e=ma	igēnema
egi-ne-ž	eginiž
egi-nē-n, ēkke-nē-n	ēkkinēn
egi-āe	egāe
egi-āi	egāi
egib-id-o	egiptu
egužri	egužri
ela-na-až-a, eli-na-až-a, ell+a+že-a	ellaža
ela-ve-ae, elabi-ae	elabae
elami-nē-ve	elaminēve
ele-ne-vā=d	elinibād
eli-a	ela
eliški-ae=lla	eliškaella
elm+ir+ġe	ēlmirġi
elm+ir+ġe-na	elamirġena
elm+ē+ġe	elmēġi
elmi	elmi
elmi-na	ēlmina
elmi-ne-da	elminida
elmi-āi	elmāi
elōruli-a	elōrula
eman+že	emašše
eman+že-ne, eman+že-ne-e	emaššeni
eman+že-ne-va	ēmmanzeneva
en+ar+a+že-ae	enarāžae
en+ar+a+že-āe	enaražāe
en+ar+ġe-a=lla	enarġalla
en+i+tḫ+ar+i-na	enitḫarra
en+ud+ōbi-n, en+ud+ōbi=n, en+ud-ō-va-en, enudōbi=n	enudōbin
en+zari	ēnzāri, īnzari
en+zari-na	ēnzarra, īnzarra
en+zari-ra	inzarra
en-a=d, eni-a=d	enad
eni	ene, eni
eni-na	ēnna
eni-na-āš-ta	ēnnāšta
eni-āe	enāe
eni-ž	enež
eni=ma	enima
enni-da, enni-i-da	ennida
ennigaldi	enigaldi, ēnnigaldi
ennigaldi-āe	iningaldāe
enummē	enummē
er+āna, er+āni-a	erāna
er+āna=lla, er+āni-a=lla	erānalla
er-ō-l-eva	erōliva
erade	erade, erādi
erade-n, erade=n, ir-ad-i-en	iraden
erade-ne-ž	eradiniž
erade-ož	iraduž
erade-āe	eradāe
erižangi-āe	erižangāe
ervi	ērbi
ervi-na-āž-a	irbīnāža
ervi-ne-ž	irveniž, ērbinež
erġi=ma, ērġ-i=ma	ērġima
ev+ar+že	evarži
evari-f-fa=an, evari-f-fa=n, evari-iffe-a=an, evari-iffe-a=n	evarip⸢fa?⸣an
ever+ni	ebirni, everne
ever+ni-a	ebirna, ibirna
ever+ni-na	ēbrinna
ever+ni-na-až-a	ēbrinnaža
ever+ni-na-až-ož	ibrinnažuž
ever+ni-na-āž-ō-nna	ēbrināžōnna
ever+ni-ne-va	ēbrinniba
ever+ni-ne-ž	ēbrinniž
evr+in+že	ēbrešši
evr+in+že-p-pe-ne-ne=m	everinžippininim
evren+ze-a	ibrinza
evri	ebri, ibri, ēbri
