a-uw-a, auwi-a	awfa
itkal+zi-ne-ve	itkalzinibi
itkal+zi-ne-ve-na	itkalzinibina
itkal+zi-ne-ve-na-až-ož	itkalzinibinažuž
itkal+zi-ne-ve-na-āž-ož	itkalzinibināžuž
itkal+zi-ne-ve-na-āž-ož=mma=an	itkalzinivināžummin
itkal+zi-ne-ve-ne-ž	itkalzinibinež
itkal+zi-ve-na-až-a=dil	itkalzibinažadel
itkal+zi-ve-na-āž-a	itkalzibināža
itkal+zi-ve-āi	itkalzibāi
itkal+zi-āe	itkalzāe
itkal+zi-āi	itkalzāi
itkan+zi-a=lla, itkan+zi=lla	itkanzalla
itt-a	itta
itt-i-l-āe, itt-i-l-āe	ittilāe
itt-i-le, itt-i-le	ittili
itt-ō-va-en, itt-ō-va-en, ittūbi-n, ittūbi=n	ittūbin
itḫi-ne-ž	itḫiniž
iv-i, ivi	ivi
iv-ā, ivi-ā	ivā
izuzi	izōzi, izūzi
izuzi-a	izūza
izuzi-i-va, izuzi-va	izuziva
iġ-ō-vōr	iġōffōr
iġari-ne-n	iġārrin
iġari-ā	iġarā
išk-a, iški-a	iška
išk-i=nna, iški+ni-na, iški-i-nna, iški-nna, iški=nna	iškinna
išk-id-o	iškidu
iški+ni-i-až	iškiniaž
išt-i, ište	išti
išt-i-en=nna=ān, ište=nna=ān	īštennān
išt-o-m=ma, išt-o=ma, išt-u=ma, išt-umme-a, ištumi-a	ištuma
ištani	ištaniž
ištani, ištani	ištani
ištani, ištani, ištani	ištāni
ištani-i-da	ištanida, īštanida
ištani-n, ištani=n	ištanin
ištani-ī-da	ištanīda
ištani-ī=ma, ištani=ma	ištanīma
ištani-īffe-ā=l	ištānīffāl
ište	ište
ište=n	išten
ište=nna=nan, išteni-na=nan, ištenni-a=n=an	ištennanan
išteni	išteni, išteniž
išteni-f-fe=mma, išteni-f-fā=mma, išteni-iffe-ā=mma, išteni-iffe=mma	išteniffāmma
išḫara	išḫara
išḫara=an, išḫara=n	išḫaran, išḫāran
išḫoni-va	išḫuniba, išḫōniba
iž+ar+i-ne-va	ižarriva
iž+ikk+o+nni-a	ižikkunna
iž-a, iža, iža-a, iži-a	iža
iž-až	ižaž
iž-i, iž-i, iži	iži
iž-o-eš=til, iž-ušt-i=l	ižuštel
iž-ī+m+āi-n, iž-ī+m+āi=n	ižīmāin
iž-ī=ma, iž-ī=ma, iži-ī=ma, iži=ma	ižīma
iža+mme	ižammi
iža+mme-ne, iža+mme-ne-e	ižammēni
iža-ve-na, iža-ve-ne-a	ižāvena
iža-vē=ma	ežābēma
iže-na	ižena
iži-ne-ve-āi=n	ižinibāin
iži-ne-ž, iži-ne-ž	ižinež
iži-ve-āi	ižibāi
iži-ve-āi=n	ižibāin
ižuġ+ni	ežuġni, ižuġni
ižuġ+ni-a	ižuġna
ižuġ+ni-ai	ižuġnai
ižuġ+ni-ž	ežuġnež
ka+i+ġe-da, ka+i+ġe-i-da	kaiġida
kabl-i-āi, kabli-āi	kablāi
kabli-ne-ž	kaballiž, kāballež
kad-al-a, kād+ali-a	kādala
kad-ašt-i	kādāšti
kad-i, kadi	kadi, kādi
kad-i-a	kadia, kādia
kad-i-b, kad-i=v, kadi-b	kadib
kad-i-l-ēž	kadilēž
kad-i-o	kadīw
kad-i-ō-šše-na	kadiōššina
kad-i=mma	kadimma
kad-id-a	katta
kad-il-i-le	kadilli
kad-ind-o-ež	kadenduž
kad-o-kko	kādukku
kad-ol-i-en	kadulen
kad-ol-i-le	kadulli
kad-ān-o, kad-ān-u	kadānu
kad-ō-l-āī-n, kad-ō-l-āī=n, kad-ōl-i-āī-n, kad-ōl-i-āī=n	kādūlāīn
kad-ūv-a	kādōva
kadi, kāde	kāde
kakkari	kakkari
kakkari-a	kakkara
kakkari-ia-ne	kakkariani
kal-ō-vade	kalōvadi
kal-ūw-a	kalūwa
kalb-uġ-ēd-a	kalbuġēda
kalgamiž-ož=l	kalgamižul
kamali-ne-nna	kamallenna
kamm+a+ḫḫe-ne-ž	kammaḫḫinež
kamm+an+ġe-ia-ne	kammanġiani
kamme	kāmmi
kamme-ne-ž	kamēnež
kammiššōri	kammiššōri
kamv-i-d-a, kamve-da	kamveda
kan+āg-i-ež	kanāgiž
kan+āg-iž-a	kanāgiža
kanagitḫe	kanagitḫi
kangalvi-a=lla	kangalvalla
kangalvi-ā=lla	kangalbālla
kanz-o-kko=m	kanzukkam
kapp-i-l-eva-ž	kappilivaž
kapš+o+ġe-ā=l, kapš-uġ-ā=l	kapšuġāl
kapš+o+ġe-ā=ma, kapš-uġ-ā=ma	kapšuġāma
kapš-a, kapši-a	kapša
kapšalla	kapšalla
kapši-ne-nna	kapšinina
kar+apt-ed-a, karapte-da	karapteda
kar-i, kāri	kāri
kare-na-āž-ož	karēnažuž
kare-ne-ž	karinež
karg+ā+ni, karg-ān-i	kargāni
kariži-ī-da	karižīda
karži, karži-i	karži
karži-b	karžib, kāržib
karži-da, karži-i-da	karžida
kat+ki	katki
kat+ki-na-až-ož	katkinažuž
kat+ki-na-āž-ož	katkināžuž
kat+ki-ne	katkini
kat+ki-āi	katkāi
kaġ+a+ni-da=ma, kaġ+a+ni-i-da=ma	kaganidama
kaš-t-i, kašt-i, kašti	kašti
kaška=an, kaška=n	kaškan
kažiari	kažiari
kažiari-ne-ne=l	kažiarrinel
kažidabi=ma	kažidabima
kažl-a, kažli-a	kažla, kāžla
kažl-o-ež	kažluž
kažl-o-l-ai-ž	kažlulaiž
kažl-o-l-aē-ž	kažlulaēž
kažl-o-l-āe-ž	kažlulāež
kažl-o-l-ēž	kažlulēž
kažl-ol-a=m	kažlulam
kažl-ož-ill-and-i-n, kažl-ož-ill-and-i=n	kažlužellandin
kažl-uw-a	kažluwa
kažl-ōž-a	kažlōža
kažli-na, kāž-a=lla, kāži-a=lla	kažalla
ke-i-eva, kev-a, kēbi-a	kēba
ke-ī-le, kil-i, kili	kīli
keb+li	kibli, kēbli
keb+li-na-āž-ož	kēbillāžuž
kel+di, kēl-d-i	kelde
kel+di-ia-ne	keldiani
kel+di-ne-ve-āe	keldinibāe
kel+di-āi	keldāi, kēldāi
keli+gel-ešt-o-m	kiligileštum
keni-na, kenni-a	kenna
ker+a+šše	kirašši, kēraži
ker+ā+že	kirāži, kērāži
ker+ā+že=ma	kiražima, kirāžima
ker-āž-o-ež	kērāžuž
kerētte	kirētte
kev+o+že-ož, kev+o-že-ož, kev-ož-o-ež, kiv-ož-o-ež	kivožuž
kev-a, kevi-a	kēva
kev-a-šše, kib+a+šše	kibašši
kev-e, kippe	kibe
kev-i-b-ā=d, kev-i-eva=d	kibibād
kev-o-l-aē-š=nna	kibulaēšša
kev-o-l-āe-š=nna	kēbulāešša
kev-o-re	kivori
kev-ud-u	kivudu
kev-uffu	kibuppu
kev-ā-šše, kib+a+šše	kibāšši
kev-ō-l-ež	kibōliž
kevri-na	kiverra, kēverra
kevri-na-āš-ta	kivērāšta
kevri-na-āž-a=n	kivirāžan
kevri-nā=m	kēvirrām
keški	kēški
kešše	kešše, kišši
kešše-ne-da=l	keššenidal
kešše-ne-va	keššeniva
kešše-ne-š=nna	keššenišša
kešše-nē-ž=l	keššenīel
kešše=ffa=an	keššippan
kešše=n	kiššen
kešḫ-i	kišḫi
kešḫ-id-en	kišḫiden
kešḫ-iž-a	kišḫiža
kešḫi	kešḫi, kēšḫe
kešḫi-da, kešḫi-i-da	kišḫida
kešḫi-dan, kešḫi-i-dan	kešḫidan
kešḫi-i-až-a=l	kišḫiažal
kešḫi-n	kišḫin
kešḫi-na-āž-e	kešḫenāži
kešḫi-ne, kešḫi-ne-e	kišḫini
kešḫi-ne-e	kešḫini, kišḫeni
kešḫi-ne-n	kišḫinin
kešḫi-ī-da	kešḫīda
kiaže	kiaži, kīaži
kiaže-ne, kiaže-ne-e	kiāžēni
kiaže-ne-da=an, kiaže-ne-da=n	kiaženidan
kiaže=ma	kēažima
kib+a+šše, kib-a-šše	kībašši
kib+o+re, kiburi-ne, kiburi-ne-e	kibure
kibi	kibi
kibridi-a=dil, kibridi=dil	kibridadel
kig-ad-uw-a=mma	kigaduwamma
kiglibadalli=n	kiglibadallin
kikk+o+ni=ma	kikkunima
kikk+o+ni=mma	kikkunimma
kikk-uġ-ēd-a	kikkuġēda
kil+ān-a-b	kilānab
kil+ān-i-ež	kilānež
kil+ōn-i	kilūni
kin-i-āe, kini-āe	kināe
kinn+ār+i, kinn-ār-i	kinnāri
kip-t-an-ed-a, kipt-an-ed-a	kiptaneda
kippe-na	kippēna
kippi-ne-ž	kippinež, kippiniž, kīppinež
kir+ar+i+nni, kir+ari+ni-ne, kir+ari+ni-ne-e	kirarinni
kir+ar+i+nni-a	kirarinna
kir+ar+i+nni-i=l=am	kirarinnilam
kir+ari+ni	kirarni
kir+ari+ni-i-ž, kir+ari+ni-ž	kirarnež
kir+ašš-o-l-aē-ž	kiraššulaēž
kir+man-a	kirmana
kir+mān+ze-ne-e	kirmānzeni
kir-ar-ašt-o-m	kiraraštum
kir-o-l-ēž	kirulēž
kir-o=nna	kirunna
kir-uġ-ed-a	kīruġida
kire+n+ze	kirenze, kirenzi, kirinzi, kērenze
kire+n+ze-a=mma	kīrenzamma
kire-ne-da	kirinida
kiri-āe	kirāe
kirġe	kirġe
kirġe-ve	kirġivi
kiv+ōr+ġē-ne-v-ōž, kiv+ōr+ġē-ne-v-ōž	kivōrġēnivōž
kiġe-ne-ž, kiʾe-ne-ž, kiḫḫe-ne-ž	kiġenež
kiš+kiž+i+a+šše+ni-na, kiš+kiž+i+a+šše-ne-nna	kiškižiaššenina
kiž+ar+že-ne-ž	kižarženež
kižipsōvae	kižipsōvāe
kol-a, kul-a, kul-a, kuli-a	kula
kol-i-ež	kōlež
kol-i-l-āe, kul-i-l-āe	kullāe
kub-aġ-i-āe, kubaġi-āe	kubaġāe
kubaba-ve-āi	kubababāi
kubāġi-ne-e=l, kubāġi-ne-ž=l, kubāġi-ne=l	kubāġinel
kud-i-aī-ž	kūdaīž
kud-id-e	kutte
kud-o	kūdu
kud-o-kko	kudukku
kuduni-b	kudunib
kul+am+ud+ut+ki	kulamudutki
kul+am+ud+ut+ki-āi	kulamudutkāi
kul+am+ō+rre-ne-ve	kulamōrrinibi
kul+i+m+ā+šše-na-āž-a	kulimāššināža
kul+i+mm+ā+šš+ō+ḫḫe-a	kulimmāššōḫḫa
kul+i+ġe-ia-ne	kuliġiani
kul+u+mb-i, kulumbi, kulumbi-i	kulumbi
kul-am-ow, kul-am-u-ow, kul-am-ū	kulamū
kul-d-i=m	kuldim
kul-d-o=m, kul-d-u=m	kuldum
kul-i-a-mma	kūliamma
kul-ož-a-šše, mal-ož-a-šše	kulužašši
kul-ōr-o-m	kulōrum
kul-ūr-o-m	kulūrum
kulamur+ni-i=lla	kulamurnella
kuldubi-n	kuldubin
kuli-na	kūlīna
kulm+o+re	kulmuri, kulmōri
kulm+o+re-na	kulmurina
kulm+o+re-ne, kulm+o+re-ne-e	kulmurri
kulm-o, kulm-u	kulmu
kulm-upp-a	kulmuppa
kulmōri-ne-n	kulmōrrin
kulve-nā=ma	kulvenāma
kulzi-i-ž, kulzi-ž	kulziž
kulzi-ne-ž	kulzinež
kumarve	kumarbi, kumarve
kumarve-ne-ve	kumarbinive
kumarve-ne-ž	kumarvenež
kumarve-ne-ž=l	kumarvenel
kumarve-ne-ž=lla	kumarvenella
kumarve-nē-ž	kumarbinī
kumarve-nē-ž=l	kumarvinīel
kumarve-ž	kumarbiž
kumm+ō+ġe	kummōġi
kumme-ne-e	kummini
kumme-ne-ve	kummenive, kumminibi, kumminive, kumminivi
kumme-ne-ve-ož	kumminivož
kumme=n=i=m	kumminim
kumr+o+ḫḫe-ā=l	kumruḫḫāl
kumri	kumri
kumri-i-ē, kumri-iē, kumrē	kumrie
kund-i, kunde	kundi
kundari	kundari
kundari-ne-n	kundarrin
kundāri	kundāri
kundāri-ne-n	kundārrin
kune-ne-e=n, kune-ne-n, kune-ne=n	kūninin
kune-ne-va	kuniniba
kune-ne-ve	kuninibi
kungallē	kungallē
kunz-i+m+ai	kunzimai
kur+a+nni-i-a, kur-ann-i-a	kurannia
kur+a+ḫḫe-a, kur+aḫḫ+i-a	kuraḫḫa
kur+aḫḫ+i	kuraḫḫi
kur-upp-a, kur-upp-a, kuruppi-a	kuruppa
kurgōrvi-i-aš=nna	kurgōrveašša
kut+kūd-a, kut+kūdi-a, kutk-ūd-a	kutkūda
kutte-ae	kuttae
kutte-ne, kutte-ne-e	kutteni
kuttive+ni-na, kuttive-na, kuttive-nna	kuttivenna
kuz+o+ġe, kuz-uġ-i	kuzuġi
kuž+u+šk+o+že-ne-ve, kuž+u+šk+o+že-ne-ē, kuž+u+šk+o+že-nē	kužuškuženie
kužaġ	kūžaġ
kužaġ-fe	kužapḫi
kužuġ	kūžuġ
kābari-na	kābarra
kāl-a, kāli-a	kāla
kāli-ia-ne	kaliani
kāli-ne-ž	kāllež
kāni	kāni
kāv-ā=lla, kāvi-ā=l	kāvāl
kāze	kāssi, kāzi
kāze-ne-vā=d	kažinibād
kāze-ož	kāzuž, kāžuž
kāze-ōž	kāzōž
kāššui	kāššui
kāž-a, kāži-a	kāža
kāž-o-kko	kāžukku
kēbi-na	kēbina
kēbi-ne, kēbi-ne-e	kēbini
kēd+ad+o+že-i	kēdadužei
kēd-a, kēdi-a	kēda
kēl-ad-i	kēladi
kēl-o=m	kilum, kēlum
kēl-ol-a	kēlula
kēl-uff-a	kiluffa
kēl-ād-i	kēlādi
kēl-ōl-a	kēlōla
kēl-ōl-o	kilōlu
kēlġēdi-ne, kēlġēdi-ne-e	kēlġēdeni
kēnn+ār+i-a=l, kēnn-ād-a=l, kēnn-ār-a=l, kēnnādi-a=l	kēnnādal
kēr-i-o-šše-ne-nna	kēriuššininna
kēri-ie-ne, kērē-ne, kērē-ne-e	kērēni
kīdāvi-a	kīdāba
kīdāvi-ae	kīdāvae
kīge	kīgi, kīgie
kīge-i-āž-a	kīgiāža
kīzir+že-ne, kīzir+že-ne-e	kīzirženi
kīziri-ne-va	kīzirriva, kīzīrriva
kīšk+ūpp+ē-ne-da	kīškūppēnida
kōlm-a, kōlmi-a	kōlma
kōm-ur-a, kōmuri-a	kōmura
kōpp+a+nni-a=l	kōppannal
kōr-upp-i, kōruppi	kōruppi
kūdade-na	kūdadena
kūg-o-kko	kūgukku
kūm+de	kumdi
kūm+de-ne-ve-ne-e=n, kūm+de-ne-ve-ne-n	kūmdenivenin
kūmuri-ne-da	kūmurrida
labla+ḫḫe-ne, labla+ḫḫe-ne-e	lablaḫḫini
labla+ḫḫe-ne-da	lablaḫḫinida
labla+ḫḫe-ne-ž	lablaḫḫinež
lallari-ne-ž	lallarrež
laġlaḫḫi-ne, laġlaḫḫi-ne-e	laġlaḫḫini
laġlaḫḫi-ne-da	laġlaḫḫinida
leli	lēli
lull+i+mb+ar+i-a	lullimbara
lullue-ne-ve	lullueneve
mad-l-a, madl-a, madli-a	madla
magaldi-ne-va	magaldiniba
magaldi-ne-ve	magaldenibi
magaldi-ne-ve-na-āž-a	magaldinibināža
magaldi-ne-vā=d	magaldinibād
mal-a, mali-a	mala
mal-i-āe, mali-āe	malāe
mali, māl-i	māli
mall+ade-ae=l	malladael
malvāži	malvāži
mamm+o+re-ne-e	māmmurinie
man-a, mān+a	mana, māna
man-a=l, mān+a=l	mānal
man-uda	mānuda
man-z-a	manza
man-z-ōra	manzōra
man-z-ōž, manu-ž-ōž	manzōž
man-ōž=l	mānōl
mandukki-ae=lla	mandukkaella
mandukki=mma	mandukkimma
mannamištu=n	mannamištun
manu-ra, mān+o+re-a	mānura
manu-wa=lla	mānuballa
manu-ž	mānuž
manu-ž-ōrā=ma	manzōrāma
mar+i+šḫe	marešḫi
mar-ašt-i, marašte	marašte
mar-i, mari	māri
mar-ož-i, maroži	maruži
mar-ud-a, marudi-a	maruda
mardam+a+ni-ne, mardam+a+ni-ne-e, mardam+a+nni, mardamanni	mardamanni
marne-ne-e=l, marne-ne=l	marninel
mazanuri	mazanuri
maētta+ni-a	maēttana
maġ-ār-a	maġāra
maġiri-ne-e	maġirri, māġirri
maġitti	maġitti
maġōri-ne, maġōri-ne-e	maġōrri
maž-ag-o-m	mažagum
mel+aḫḫ-o-m	melaḫḫum
meġ-a	meġa, mēġa
meġ-ō-m, miġ-ō-m	miġōm
mig-ummi	migummi
mil-ol-ad-i-l-āe	miluladilāe
mil-ol-ād-o, mil-ol-ād-u	milulādu
mini	mini
mir+e+šḫi-ne, mir+e+šḫi-ne-e	mirešḫini
mir+ul+avi-ā=l	mirulavāl
mirž-i-āe, mirži-āe	miržāe
mirž-ā=l, mirži-ā=l, mirži=l	miržāl
mor-i-l-āe, murri-āe	murrāe
mun-o-ež, muni-ož	munuž
mun-uġ-ož-i-l-āi	munuġuželāi
munġ-ī-e, munġi-ī-e, munġi-īe	munġīe
murri-ī-e	murrīe
murġ-ol-išt-a, murġulišti-a	murġulišta
muž+u+ni	mužūni
muž+u+ni-na	mužunna
mužoni-ne-va	mužunniba
mužoni-va	mužuniba
mužoni-ž	mužuniž, mužunniž
mužunni	mužunni
mā=n, mā=ān	mān
mād-ašt-a-b	mādaštab
mād-i, mādi	mādi
mād-il-i-le=lla, mādili-ne-e=lla, mādili-ne-ž=lla, mādili-ne=lla, mādilli-i=lla	mādillilla
mād-t-a	mātta
mād-t-a=l	māttal
mād-uw-a	māduwa
mād-ōl-i	madōli
mādi-a=ffa	madaffa, madappa, mādaffa, mādappa
mādi-ai	mādai
mādi-da, mādi-i-da	mādida
mādi-i-e, mādi-ie	mādie
mādi-na	mādena
mādi-na-až-a	mādinaža
mādi-ne-ve	mādinibi, mādinivi
mādi-ā=ffa	madāppa
māl+ō+žē-na	mālōžēna
mām+o+re-ne-ve	māmurinibi
mān+g+a	mānga
māni-ne-n, mānn-e=n, mānne=n	mānnin
mānn-o-bōr	mānnubōr
mānn-ō-bor	mānnōbur
mānne	mānie, mānni
mānnuwali-ne, mānnuwali-ne-e, mānnuwalli	mānnuwalli
māġri	māġri
māški	māški
mēg-umme	mēgummi
mēgi	mēgi
mēgi-ne-ž	mēginež
mēgi-ne-ž=lla	mēginella
mēgi-nē-ž	mēginie
mēr-i-ež, mēri-i-ž, mēri-ž	mērež
mīr-i-l-ēž, mīri-nē-ž	mīrrīž
mōri-ne, mōri-ne-e, mōrri	mōrri
mōrri-na	murrina, mōrrina
mōrri-ne-va	murriniba
mōrri-ne-vā=dil	mōrrinibādel
mū+i+re	muwiri
mūgižanun	mūgižanun
mūnurimi-ne-da	mūnuriminida
mūž-i-b	mūžib
mūž-ēd-ā	mūžēdā
mūž-ōl-ō-m	mužōlōm
na+i+ġē-na, na+i+ġē-ne-a	naiġēna
nab+ar+i-ne-va	nabarriba
nabarbi	nabarbi
nabarbi-ne-da	nabarbinida
nabarbi-ne-ve	nabarbinibi
nabarbi-ne-ve, nabarbi-ne-ē, nabarbi-nē	nabarbinie
nabarbi-nē-da	nabarbinēda
nabarbi-ve-na-āž-ož	nabarvināžuž
nabarbi-ž	nabarbiž
nabarbi=n	nabarbin
nabari-ve-na-až-ož	nabarbinažuž
nabni-da, nabni-i-da	nabnida
nabni-ī-da	nabnīda
nagēri	nagēri
nai-na-až-ož	nāinažuž
nai-na-āž-ož	nāināžuž
nai-īa-nē, naīa-ne-ve, naīa-ne-ē, naīa-nē	naīanie
nak-t-i, nakt-i, nakti, nakti	nakti
nakk+a+šḫe-a	nakkašḫa
nakk+a+šḫe-a=m	nakkašḫam
nakk-ed-aššo	nakkidaššu
nakk-ed-aššō	nakkidaššō
nakk-ed-āw-ž	nakkidāōž
nakk-ed-ūw-a	nakkidūwa
nakk-i	nakki
nakk-i-uffo-š=nna	nakkiwfošša
nakk-i-ōffu-ž	nakkiōffuž
nakk-i-ōššo=nnā	nakkiōššunā
nakk-i=ma	nakkima
nakk-uffu	nakkuppu
nakti-b	naktib
namli-a	namla
namli-na-āž-a	nammallāža, nāmallāža
namni-va	namniva
natk+āmm+a+ni-na-āž-a	natkāmmannāža
natki-ne-n	natkinin
natḫi-a	nātḫa
natḫi-ne-n	natḫinen
nau+ni-na-až-a	naunnaža
nau+ni-ne-ve	naunnibi
nau+ni-ne-ve-na, nāū+nni-ve-na	nāwunnebina
nau+ni-ne-ž	nawunnež
nau+ni-ī-e, nau+ni-īffu-we	nawnībuwe
nav-a	nāva
nav-an-ed-a, nav-an-ed-a, navani-da	navanida
nav-e, nav-e, nave	nave
nav-ed-a, nave-da	naveda
navari	navari
nave	nābi
nave-i=ma, nave=ma	nābima
nave-ne-ž	navenež
naġmazuli-ž=l	naġmazulel
naīa-na-āž-a	naēnāža
našp-a, našpi-a	našpa
naž-āg-i, nažāgi	nažāgi
naḫḫ+a+šše-na, naḫḫ-a-šše-na	naḫḫaššina
naḫḫ+o+bade-ož	naḫḫubaduž
naḫḫ+o+že-a, naḫḫ-ož-a	naḫḫuža
naḫḫ+o+že-a, naḫḫ-ōž-a	naḫḫōža
naḫḫ+ō+tḫe-da, naḫḫ+ō+tḫe-i-da	naḫḫōtḫida
naḫḫ-a	naḫḫa
naḫḫ-a-b	naḫḫab
naḫḫ-i-l-āi	naḫḫilāi, nāġelāi
naḫḫ-i-le	naḫḫili
naḫḫ-ōž-u	naḫḫōžu
negri	negri, nigri
nelġ-a, nelġi-a	nelġa
nera, nera-a, neri-a, nēr-a	nēra
nera-i, neri, nēr-i	neri, nēri
nera-i-da, niri-da, niri-i-da	nirida
nera-i-da, niri-i-da	nirīda
nera-i-da, nēr-ed-a, nēri-da, nēri-i-da	nērida
nera-iē-da, neri-ie-da	nerēda
nera-ra	nērara
nera-ve	nēravi
nera-ī-da, neri-i-da	nerīda
neġer+ni-a	neġirna
nešši	nešši, nēšši
nešši-a	nešša
nešši-b	neššib
nešši-da=l, nešši-i-da=l	neššidal
nešši-na	neššēna
nešḫi-na	nešḫina
nibri-a	nibra
nig-a, nigi-a	niga
nigallu-we	nigalluwe
nigalo-va	nigalōba
nikkal	nikkal
nikkal-už=l, nikkal=l	nikkalul
nil-ō-ež, nili-ōž, nēli-ōž	nilōž
ninuwa+ġe-ne-š=nna	ninuwaġinešša
ninuwa-va	ninuwava, ninuwāva
ninuwa-ve	ninuwāve, nīnuwave
ninuwa-ḫe-ve	nīnubapḫi
nippilova-a	nippilōva
nir+o+bāde	nerubādi, nirubādi
nir+že-da, nir+že-i-da	niržida
nir-i-b, niri-b	nīrib
niri-āe	nirāe
nirġi-a	nirġa
niv-ōž-ill-and-i-n, niv-ōž-ill-and-i=n	nivōžellandin
niviri-f-fe, niviri-iffe	niviriffi
niġar+že	niġarži
niġari	niġāri
niġari-na	niġarra
niġe	niġe, niġi
niġe-f-fe, niġe-iffe	niġeffi
niġe-iffe, niġe-p-pe	niġippi
noi-a=l	nōial
nor+i+ġe-ne, nor+i+ġe-ne-e	nōriġini
nubi	nūbi
nubi-n, nubi=n	nubin
nubi-nē-n	nūbīnīn
nubur+ni-a	nuburna
nudan+z+a+ġe-ī-va=an, nudan+z+a+ġe-ī-va=n	nudanzaġīvan
nul+ade-ne-ž	nuladenež
numri-i-ve, numri-ve	numribi
nur+ā+šše	nurāšše
nurandiġi-nna	nurandiġinina, nurandiġinna
nutk+i+ġe-a	nutkiġa
nuġ+o+ni-a=m	nuġunab
nuḫḫ+a+že	nuḫḫaže
nā-uff-a	nāuffa
nāb-u	nābu
nāie-na-āž-a	nāēnāža
nāie-ne-va	nāēniba
nāl-i, nāli, nāli	nāli
nāldiri	nāldiri
nāli-ne, nāli-ne-e	nālli
nāli-ne-ž	nālliž
nān-ašt-i	nānašti
nān-ed-i	nānidi
nān-i-ež, nāni-ž	nāniž
nān-ind-o-eš=nna	nāninduža
nān-ād-o-m	nanādum
nāri+šše	nārišše
nāū+nni	nāwunni
nāū+nni-na	nāwunnina
nāž+ar+ni	nāžarni
nēb+ā+že	nēbāži
nēb+ā+že-a	nēbāža
nēd+o+ġē-ne-ž	nēduġēnež
nēl-a-b=an, nēla-b-a=an, nēla-b-a=n, nēla-b=an, nēli-a-v=an, nēli-a=v=an	nēlaban
nēli	nēli
nēli-a	nēla
nēli-na, nēli-na	nēlla
nēli-ōž	nēlōž
nēr+ni	nērne
nēġār+že-a	nēġārža
nīn-ād-o-m	nīnādum
nīv+ar+i-i-ož	nīvarīuž
nīv+ā+že	nīvāži
nīġr+i+a+že-ī=l	nīġriažīel
nōdiri	nōdiri
nōv+ar+ē=m	nōvarēm
nōvi-a=ān, nōvi-ā=n	nōvān
nōġ-ind-o-ež	nōġinduž
nōġašše-ne, nōġašše-ne-e	nōġaššeni
nū-ind-o-ež	nuwinduž
nūd+o+že-a, nūd-ož-a	nūduža
nūd-o, nūd-u	nūdu
nūm-a, nūmi-a	nūma
nūrbi-ne-ž	nūrbiniž
nūv+a+ni-nē-ž=l	nūwannīel
nūv+ar+i-nē-va=an, nūv+ar+i-nē-va=n	nūwarrīvan
nūv+ar+i-nē-va=ān, nūv+ar+i-nē-vā=n	nūwarrīvān
obi-na	ubina
odip.šarri-n, odip.šarri=n	udipšarin
ol-a, oli-a	ula
ol-ō-eš=til, ol-ōšt-i=l	ulōštel
oli-a=ffa	ulaffa, ulappa
oli-ne, oli-ne-e	ulli, ōlli
oli-ne-ne, ōlli-ne, ōlli-ne-e	ōllini
oli-ne-va	ulliva
oll+uġ+o+že-ve-āe	ulluġužibāe, ulluġōžibāe
oll+uġ+o+že-ve-āi	ulluġužibāi
oll+uġ-i-aī=nna	ōlluġaīnna
oll+uġ-o-m	ōlluġum
oll+uġ-ož-ill-and-i-n, oll+uġ-ož-ill-and-i=n	ōlluġužellandin
oll+uġ-ož-ill-i-āi-n, oll+uġ-ož-ill-i-āi=n	ulluġužellāin
oll-o-l-ež	ulluliž
oll-uġ-ēd-i	ulluġēdi
olvi-ne-e	ōlbīni
olvi-ne-ē=ma	ūlvinēma
omini-a	umina
omini-na	uminna, ōmminna
omini-na-až-a=ma	uminnažama
omini-na-āž-a	uminnāža, umminnāža
omini-na-āž-e	uminnāži
omini-ne-e	ōmminni
omini-ne-vā	ōmmennivā
omini-ī-e, omini-īe	uminīe
ondu=l	undūl
ondu=ma	ōnduma
onnu	unnu, ōnnu
or+o+nni	urunni
or+o+nni-da, or+o+nni-i-da	urunnida
or+o+nni-i-až, or+o+nni-ia-ne	urunniaž
or+o+nni-n, or+o+nni=n	urunnin
or-o, or-u	uru
orurmili-ī-až	ururmilīaž
ove-ne-ž	ubinež, uwenež
ove=n, ub-ī-en, ub-ī=n, ubi-n, ubi-ī-n, ubi-ī=n, ubi=n, ubī-n, ubī-ī-n, ubī-ī=n, ubī=n	ubīn
oġ+ni	uġni
oġ+o+ni	uġōni
oġ+ō+šše-āi	uġōššāi
oġ+ōž+a+mā+šše	uġōžamāšši
ošt+a+šše-n, ošt+a+šše=n	uštaššin
ošt+i+ġe	uštiġi
ošt-a-b	uštab
ošt-an-ēd-i	uštanēdi
ošt-ed-i-a, uštedi-i-a	uštedia
ošt-i-ae	uštae
ošt-o, ošt-u	ōštu
ošt-ur-a-b	ušturab
ošt-ā-b	uštāb
pa+i+re-i=ma	pairima
pa+i+re-iffu-we	pairibuwi
pa+ilia-ne-ž	pailianež
pab+ni, paba+ni	pabni
paba+ni	pabāni
paba+ni, paba+ni-ne, paba+ni-ne-e	pābanni
paba+ni, paba+ni-ne-e	pabanni
paba+ni-na	pabanna, pābanna
paba+ni-na-aš-ta	favanašta
paba+ni-na-až-e	pabannaže
paba+ni-na-až-ož	pabannažuž
paba+ni-na-āž-e	pābannāže
paba+ni-ne-ž	pabanniž
padn-i, padni	padni
pag+a+mme-ož	pagammuž
paib.ebla-ž	paibiblaž
