form	segmentation	pos	morph_tag
ažužellandin	až+ož-ill-and-i=n	verb	ill-PL.A-MOD.AG=3SG.ABS
ažōžellandin	až+ož-ill-and-i=n	verb	ill-PL.A-MOD.AG=3SG.ABS
ažōžillandin	až+ož-ill-and-i=n	verb	ill-PL.A-MOD.AG=3SG.ABS
ažuri	až-o-re	verb	PAT-PTCP.ABS
ažōri	až-o-re	verb	PAT-PTCP.ABS
ažūri	až-o-re	verb	PAT-PTCP.ABS
āžōri	až-o-re	verb	PAT-PTCP.ABS
aġaštedab	aʾ-ašt-ed-aw	verb	RES-FUT-1A.SG
aġāštedab	aʾ-ašt-ed-aw	verb	RES-FUT-1A.SG
eguššāe	eg+o+šše-ae	noun	INS
eguššāi	eg+o+šše-ae	noun	INS
eguššinažuž	eg+o+šše-na-až-ož	noun	RELAT.PL-PL-ERG
eguššināžuž	eg+o+šše-na-až-ož	noun	RELAT.PL-PL-ERG
egudutki	eg+ud+ut+ki	noun	.ABS
igudutki	eg+ud+ut+ki	noun	.ABS
egi	egi	PREP	
igi	egi	PREP	
egi	egi	noun	.ABS
igi	egi	noun	.ABS
egai	egi-ae	noun	INS
egāe	egi-ae	noun	INS
egāi	egi-ae	noun	INS
igiažama	egi-i-až-a=ma	noun	3POSS-PL-DAT/ESS=CON
igiažāma	egi-i-až-a=ma	noun	3POSS-PL-DAT/ESS=CON
egināžuž	egi-na-až-ož	noun	RELAT.PL-PL-ERG
igināžuž	egi-na-až-ož	noun	RELAT.PL-PL-ERG
egini	egi-ne-e	noun	RELAT.SG-DIR/LOC
egēni	egi-ne-e	noun	RELAT.SG-DIR/LOC
igēni	egi-ne-e	noun	RELAT.SG-DIR/LOC
egennin	egi-ne-n	noun	RELAT.SG-ABL/INS
ēkkinēn	egi-ne-n	noun	RELAT.SG-ABL/INS
enaražāe	en+ar+a+že-ae	noun	INS
enarāžae	en+ar+a+že-ae	noun	INS
ēnzāri	en+zari	noun	.ABS
īnzari	en+zari	noun	.ABS
inzarra	en+zari-na	noun	RELAT.PL.ABS
ēnzarra	en+zari-na	noun	RELAT.PL.ABS
īnzarra	en+zari-na	noun	RELAT.PL.ABS
ene	eni	noun	.ABS
eni	eni	noun	.ABS
enigaldi	ennigaldi	noun	.ABS
ēnnigaldi	ennigaldi	noun	.ABS
erade	erade	noun	.ABS
erādi	erade	noun	.ABS
irveniž	ervi-ne-ž	noun	RELAT.SG-ERG
ērbinež	ervi-ne-ž	noun	RELAT.SG-ERG
ebirni	ever+ni	noun	.ABS
everne	ever+ni	noun	.ABS
ebirna	ever+ni-a	noun	ESS
ibirna	ever+ni-a	noun	ESS
ebri	evri	noun	.ABS
ibri	evri	noun	.ABS
ēbri	evri	noun	.ABS
ebrida	evri-i-da	noun	3POSS.SG-DIR
ēbrida	evri-i-da	noun	3POSS.SG-DIR
