form	segmentation	pos	morph_tag
ažugallēni	ažugali-ne-ne	noun	RELAT.SG-ABL/INS
ažugallēni	ažugallē-ne	noun	ABL/INS
ažugallēni	ažugallē-ne-e	noun	RELAT.SG-DIR/LOC
ažulain	až-o-l-ai-n	verb	MOD.PAT-l-PURP-n
ažulain	až-o-l-ai=n	verb	MOD.PAT-l-PURP=3SG.ABS
ažurež	až-o-re-i-ž	verb	PAT-PTCP-3POSS.SG-ERG
ažurež	až-o-re-ž	verb	PAT-PTCP-ERG
ažužellandin	až+ož-ill-and-i-n	verb	ill-PL.A-MOD.AG-n
ažužellandin	až+ož-ill-and-i=n	verb	ill-PL.A-MOD.AG=3SG.ABS
ažōġiž	ažōġi-i-ž	noun	3POSS.SG-ERG
ažōġiž	ažōġi-ž	noun	ERG
ažōžellandin	až+ož-ill-and-i-n	verb	ill-PL.A-MOD.AG-n
ažōžellandin	až+ož-ill-and-i=n	verb	ill-PL.A-MOD.AG=3SG.ABS
ažōžillandin	až+ož-ill-and-i-n	verb	ill-PL.A-MOD.AG-n
ažōžillandin	až+ož-ill-and-i=n	verb	ill-PL.A-MOD.AG=3SG.ABS
egennin	ege+nni-n	noun	ABL/INS
egennin	egi-ne-e=n	noun	RELAT.SG-DIR/LOC=3SG.ABS
egennin	egi-ne-n	noun	RELAT.SG-ABL/INS
egini	egi-ne	noun	ABL/INS
egini	egi-ne-e	noun	RELAT.SG-DIR/LOC
egunna	eg+o+nni-a	ADJ	ESS
egunna	eg+o+nni-na	ADJ	RELAT.PL.ABS
egunni	eg+o+nni	ADJ	.ABS
egunni	eg+o+nni-ne	ADJ	ABL/INS
egunni	eg+o+nni-ne-e	ADJ	RELAT.SG-DIR/LOC
eguššellandin	eg+o+šš-ill-and-i-n	verb	ill-PL.A-MOD.AG-n
eguššellandin	eg+o+šš-ill-and-i=n	verb	ill-PL.A-MOD.AG=3SG.ABS
eguššulāi	eg+o+šš-o-l-ai	verb	MOD.PAT-l-PURP
eguššulāi	eg+o+šš-ol-i-ai	verb	ol-MOD.AG-PURP
eguššužilandin	eg+o+šš-ož-ill-and-i-n	verb	ož-ill-PL.A-MOD.AG-n
